1998  Mitsubishi Pajero Pinin (IO),"135000 կմ , Կուպե, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","31.12.2025 Հայաստան, Մաքսազերծված"
$ 16 500,2019  Hyundai Kona,"78118 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","13.03.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2021  Mercedes-Benz E 350,"86358 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","21.02.2025 ԱՄՆ, Աճուրդում"
$ 20 000,2019  Nissan Sentra,"20527 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","19.03.2025 ԱՄՆ, Աճուրդում"
$ 2 300,2019  Nissan Sentra,"42975 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","19.03.2025 ԱՄՆ, Աճուրդում"
$ 2 100,2019  Chevrolet Equinox,"62456 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","18.03.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2019  Nissan Versa,"71168 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","18.03.2025 ԱՄՆ, Աճուրդում"
$ 2 300,2019  Dodge Challenger,"61667 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","24.02.2025 ԱՄՆ, Աճուրդում"
$ 5 300,2019  Subaru Outback,"88293 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","23.02.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2022  Lexus IS 350 F Sport,"34325 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կարմիր"
$ 13 500,2021  Lexus IS 300,"25719 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 12 000,2021  BMW X3,"10000 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 18 100,2020  BMW X7,"11925 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 30 000,2018  Dodge Charger,"61160 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","24.02.2025 ԱՄՆ, Աճուրդում"
$ 3 500,2018  Dodge Challenger,"83874 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","24.02.2025 ԱՄՆ, Աճուրդում"
$ 4 500,2022  Toyota Corolla,"48223 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 7 300,2022  Toyota Corolla,"43091 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 7 500,2021  Toyota Corolla,"62740 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 7 000,2021  Tesla Model Y,"38487 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, 400, Ձախ, Սպիտակ","11.02.2025 ԱՄՆ, Աճուրդում"
$ 13 100,2022  Mercedes-Benz S 580,"45810 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","13.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 71 500,2020  Mercedes-Benz G 63 AMG,"45000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","13.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 130 100,2021  BMW X5,"67340 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","29.03.2025 ԱՄՆ, Աճուրդում"
$ 27 000,2019  Nissan Versa,"25371 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","18.03.2025 ԱՄՆ, Աճուրդում"
$ 2 300,2020  Toyota Highlander,"68516 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ","13.03.2025 ԱՄՆ, Աճուրդում"
$ 17 000,2023  Mercedes-Benz GLE 400,"8042 կմ , Կուպե, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն","20.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 75 200,2025  Lexus LX 500d,"10 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սև","24.03.2025 ԱՄԷ, Մաքսազերծված չ"
$ 144 300,2024  Lexus LX 600,"13000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","24.03.2025 ԱՄԷ, Մաքսազերծված չ"
$ 135 900,2020  Lexus ES 350,"64431 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 13 500,2024  BMW X5 M,"14647 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","25.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 113 400,2020  Lexus ES 250,"100000 կմ , 4x4, Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","26.12.2025 Հայաստան, Մաքսազերծված"
$ 33 000,2025  BMW iX,"1000 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 385, Ձախ, Սև","25.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 84 100,2019  Lexus ES 300,"10248 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","14.02.2025 ԱՄՆ, Աճուրդում"
$ 12 500,2019  Subaru Impreza,"44161 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 2 500,2019  Lexus IS 300,"61487 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","14.02.2025 ԱՄՆ, Աճուրդում"
$ 9 500,2019  Hyundai Tucson,"53347 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","16.02.2025 ԱՄՆ, Աճուրդում"
$ 5 000,2019  Lexus ES 350,"84808 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","22.03.2025 ԱՄՆ, Աճուրդում"
$ 11 000,2025  Mercedes-Benz GLS 600 Maybach,"50 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","19.03.2025 ԱՄՆ, Աճուրդում"
€ 206 800,2022  Dodge Charger,"42876 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","16.02.2025 ԱՄՆ, Աճուրդում"
$ 7 000,2019  Jeep Cherokee,"81987 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 4 300,2023  Toyota Bz4X,"12900 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 150, Ձախ, Սև","21.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 27 700,2025  Toyota Bz4X,"500 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 150, Ձախ, Կապույտ","21.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 38 700,2022  BMW X5,"31470 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","22.03.2025 ԱՄՆ, Աճուրդում"
$ 29 500,2019  Kia Optima,"63028 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 3 000,2018  Lexus GX 460,"74924 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","12.05.2025 ԱՄՆ, Աճուրդում"
$ 17 000,2022  Toyota Rav 4,"51622 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","12.05.2025 ԱՄՆ, Աճուրդում"
$ 12 800,2020  Toyota Rav 4,"72446 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կարմիր","12.05.2025 ԱՄՆ, Աճուրդում"
$ 9 700,2022  Toyota Rav 4,"42091 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","12.05.2025 ԱՄՆ, Աճուրդում"
$ 13 000,2019  Toyota C-HR,"30446 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","12.05.2025 ԱՄՆ, Աճուրդում"
$ 5 200,2021  Toyota C-HR,"10 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","12.05.2025 ԱՄՆ, Աճուրդում"
$ 8 000,2018  Toyota C-HR,"79359 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","12.05.2025 ԱՄՆ, Աճուրդում"
$ 4 500,2020  Toyota C-HR,"66250 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","12.05.2025 ԱՄՆ, Աճուրդում"
$ 6 900,2020  Toyota C-HR,"51933 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","12.05.2025 ԱՄՆ, Աճուրդում"
$ 7 000,2018  Subaru Forester,"79257 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ","12.05.2025 ԱՄՆ, Աճուրդում"
$ 3 500,2025  BMW X3,"5000 կմ , Ամենագնաց, Գազ, Ավտոմատ, Ձախ, Սև","22.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 46 700,2024  BMW X2,"11760 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սպիտակ","22.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 30 200,2023  BMW X2,"15600 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","22.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 24 200,2019  Ford Ecosport,"140000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 14 300,2021  Nissan Versa,"44000 մղոն , Սեդան, Բենզին և գազ, Ավտոմատ, Ձախ, Մոխրագույն","27.09.2025 Հայաստան, Մաքսազերծված"
$ 12 300,2020  Jeep Wrangler,"112000 կմ , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","23.12.2025 Հայաստան, Մաքսազերծված"
$ 40 000,2013  Chevrolet Volt,"139000 կմ , Չվթարված, Հետչբեք, Հիբրիդ, Ավտոմատ, Ձախ, Արծաթագույն","30.11.2025 Հայաստան, Մաքսազերծված"
$ 6 700,2008  Mercedes-Benz G 500,"1111 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,2019  BMW X3,"80000 կմ , Sdrive, Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մոխրագույն","27.11.2025 Հայաստան, Մաքսազերծված"
$ 26 000,2007  Mercedes-Benz G 500,"235000 կմ , Ամենագնաց, Գազ, Ավտոմատ, Ձախ, Սև, Սև","25.11.2025 Հայաստան, Մաքսազերծված"
$ 38 500,2017  Maserati Levante,"109000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Շագանակագույն"
$ 44 000,2017  Chevrolet Malibu,"195000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","17.11.2025 Հայաստան, Մաքսազերծված"
֏ 4 500 000,2022  Mazda CX5,"20500 կմ , GRANT TOURING PREMIUM PLUS -FULL, Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.12.2024 Հայաստան, Մաքսազերծված"
Պայմ.,2001  BMW X5,"250000 կմ , Ամենագնաց, Բենզին, Մեխանիկական, Ձախ, Արծաթագույն, Սև, 6"
$ 10 500,2019  Volkswagen Caddy,"200000 կմ , Ունիվերսալ, Գազ, Մեխանիկական, Ձախ, Կապույտ, Սև, 1.4"
$ 17 000,2021  VAZ (Lada) NIVA Legend,"70000 կմ , Ամենագնաց, Գազ, Մեխանիկական, Ձախ, Սպիտակ, Սև, 1.7","10.06.2025 Հայաստան, Մաքսազերծված"
$ 14 000,2021  Mercedes-Benz EQC,"40000 կմ , ABS, TRC, EBD, ESP, Մոնիտոր/TV, Բորտ-համակարգիչ, Հայելիների տաքացում"
$ 52 000,2021  BMW M5,"38000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Այլ գույն","12.12.2025 Հայաստան, Մաքսազերծված"
$ 75 000,2013  Chevrolet Volt,"160000 կմ , 1.4 Hybrid, Սեդան, Բենզին, Ավտոմատ, Ձախ, Բալագույն","26.11.2025 Հայաստան, Մաքսազերծված"
$ 7 300,2016  Chrysler 200,"125000 մղոն , 2.4 LIMITED, Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","16.12.2025 Հայաստան, Մաքսազերծված"
$ 11 900,2011  Mercedes-Benz ML 350,"170000 կմ , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 16 000,2020  Hyundai Elantra,"59594 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","29.05.2025 ԱՄՆ, Աճուրդում"
$ 3 800,2021  Toyota Tundra,"51747 մղոն , Պիկապ, Բենզին, Ավտոմատ, Ձախ, Սև","16.02.2025 ԱՄՆ, Աճուրդում"
$ 18 000,2021  Tesla Model 3,"22613 մղոն , Սեդան, Էլեկտրական, Ավտոմատ, 300, Ձախ, Սև","27.02.2025 ԱՄՆ, Աճուրդում"
$ 9 000,2025  Lexus GX 550,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 114 000,2021  Dodge Charger,"75108 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","25.03.2025 ԱՄՆ, Աճուրդում"
$ 6 200,2020  Subaru Legacy,"54178 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","25.03.2025 ԱՄՆ, Աճուրդում"
$ 3 000,2020  Subaru Legacy,"75628 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","25.03.2025 ԱՄՆ, Աճուրդում"
$ 3 100,2020  Chevrolet Malibu,"26175 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","14.03.2025 ԱՄՆ, Աճուրդում"
$ 3 700,2025  BMW X5,"2500 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սպիտակ"
€ 92 000,2024  BMW X5,"12139 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն"
€ 83 200,2025  BMW iX,"8000 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 400, Ձախ, Կապույտ","25.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 81 000,2024  Mercedes-Benz CLE 450,"10 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.04.2025 ԱՄՆ, Աճուրդում"
$ 35 600,2024  Lexus GX 550,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 115 600,2019  Chevrolet Cruze,"63070 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","15.02.2025 ԱՄՆ, Աճուրդում"
$ 2 500,2020  Toyota Corolla,"32317 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","15.02.2025 ԱՄՆ, Աճուրդում"
$ 5 400,2021  Toyota Camry,"80602 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","21.03.2025 ԱՄՆ, Աճուրդում"
$ 11 200,2019  Kia Forte,"60367 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","26.02.2025 ԱՄՆ, Աճուրդում"
$ 3 400,2019  Kia Forte,"78682 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","26.02.2025 ԱՄՆ, Աճուրդում"
$ 3 500,2023  Hyundai Sonata,"17058 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","23.02.2025 ԱՄՆ, Աճուրդում"
$ 7 000,2022  Hyundai Sonata,"44529 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","23.02.2025 ԱՄՆ, Աճուրդում"
$ 6 000,2025  Mercedes-Benz GLS 450,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
€ 127 500,2025  Mercedes-Benz GLS 450,"1000 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սպիտակ"
€ 111 000,2025  Mercedes-Benz GLS 63 AMG,"50 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
€ 176 303,2025  Mercedes-Benz GLS 600 Maybach,"50 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
€ 212 500,2025  Mercedes-Benz GLS 400,"10 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սպիտակ"
€ 111 500,2025  Mercedes-Benz GLS 63 AMG,"50 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն"
€ 176 000,2023  Honda e:NS1,"38000 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 68.8, Ձախ, Սպիտակ","30.12.2025 Հայաստան, Մաքսազերծված"
$ 18 900,2018  BMW 750,"127000 մղոն , 750 I FULL, Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ","11.12.2025 Հայաստան, Մաքսազերծված"
$ 33 800,2022  Mazda CX5,"19000 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,2016  Chrysler 200,"220000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 9 500,2012  Mercedes-Benz Sprinter,"170000 կմ , Մինիվեն / Միկրոավտոբուս, Դիզել, Մեխանիկական, Ձախ, Սպիտակ","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,2001  Ford Transit,"170000 կմ , Ֆուրգոն, Դիզել, Մեխանիկական, Ձախ, Սպիտակ","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,2008  Ford Transit,"173000 կմ , Ֆուրգոն, Դիզել, Մեխանիկական, Ձախ, Սպիտակ","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,2020  Kia Sportage,"25095 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.02.2025 ԱՄՆ, Աճուրդում"
$ 5 400,2011  Ford Transit,"175000 կմ , Ֆուրգոն, Դիզել, Մեխանիկական, Ձախ, Դեղին","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,2021  Subaru Forester,"64064 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","25.03.2025 ԱՄՆ, Աճուրդում"
$ 5 500,2020  Toyota Corolla,"85934 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.02.2025 ԱՄՆ, Աճուրդում"
$ 5 100,2020  Lexus RX 350,"46941 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","20.02.2025 ԱՄՆ, Աճուրդում"
$ 14 200,2020  BMW 320,"37900 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","16.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 27 900,2020  Ford Explorer,"41388 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","26.03.2025 ԱՄՆ, Աճուրդում"
$ 8 000,2019  Lexus RX 350,"79583 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","26.02.2025 ԱՄՆ, Աճուրդում"
$ 13 000,2020  Hyundai Tucson,"32828 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","17.03.2025 ԱՄՆ, Աճուրդում"
$ 6 000,2023  Dodge Challenger,"31955 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 8 500,2018  Nissan Murano,"8306 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ","17.02.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2018  Subaru Impreza,"67527 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","16.02.2025 ԱՄՆ, Աճուրդում"
$ 2 000,2018  Hyundai Tucson,"63688 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Երկնագույն","16.02.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2025  Land Rover Range Rover Sport,"5000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","25.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 136 900,2024  Lexus RX 350,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","24.03.2025 ԱՄԷ, Մաքսազերծված չ"
$ 64 800,2023  Mercedes-Benz GLS 600 Maybach,"28766 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","19.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 132 900,2022  Tesla Model 3,"31183 մղոն , Սեդան, Էլեկտրական, Ավտոմատ, 300, Ձախ, Սպիտակ","27.02.2025 ԱՄՆ, Աճուրդում"
$ 9 700,2024  Mercedes-Benz GLE 63 S Coupe,"16000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","13.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 110 800,2019  Toyota Tundra,"84158 մղոն , Պիկապ, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","16.02.2025 ԱՄՆ, Աճուրդում"
$ 13 600,2025  BMW 740,"9100 կմ , Սեդան, Դիզել, Ավտոմատ, Ձախ, Սև","21.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 96 700,2022  Lexus RX 350 F Sport,"48042 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","20.03.2025 ԱՄՆ, Աճուրդում"
$ 22 000,2021  Toyota Tacoma,"67547 մղոն , Պիկապ, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 13 000,2005  Ford Transit,"230000 կմ , Ֆուրգոն, Դիզել, Մեխանիկական, Ձախ, Կարմիր","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,2019  Chevrolet Cruze,"71327 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","15.02.2025 ԱՄՆ, Աճուրդում"
$ 2 400,2018  Toyota Camry,"132000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 17 500,2024  Lexus GX 550,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 109 000,2025  Rolls Royce Cullinan,"3946 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 420 200,2025  Rolls Royce Cullinan,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 510 000,2025  Rolls Royce Cullinan,"20 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 440 000,2025  Rolls Royce Ghost,"50 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 360 000,2025  Rolls Royce Ghost,"50 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 449 900,2025  BMW 530,"4033 կմ , Սեդան, Հիբրիդ, Ավտոմատ, Ձախ, Արծաթագույն","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 60 500,2025  BMW 530,"4095 կմ , Սեդան, Հիբրիդ, Ավտոմատ, Ձախ, Սև","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 62 200,2024  Mercedes-Benz GLC 200,"32 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 57 900,2025  Mercedes-Benz GLC 300,"40 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 67 000,2025  Mercedes-Benz GLC 200,"4000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 55 400,2025  Mercedes-Benz GLC 300,"4900 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սև","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 73 100,2025  Audi A8,"1045 կմ , Սեդան, Դիզել, Ավտոմատ, Ձախ, Սև","15.12.2025 Գերմանիա, Մաքսազերծված չ"
€ 79 900,2025  Toyota Land Cruiser Prado,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն"
$ 70 800,2025  Toyota Land Cruiser Prado,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 59 000,2025  Lexus GX 550,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 113 500,2020  Nissan Rogue,"86516 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ","27.02.2025 ԱՄՆ, Աճուրդում"
$ 4 100,2020  Nissan Rogue,"60308 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","27.02.2025 ԱՄՆ, Աճուրդում"
$ 4 500,2019  Subaru Legacy,"39580 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","16.02.2025 ԱՄՆ, Աճուրդում"
$ 3 000,2024  Toyota Land Cruiser Prado,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 58 000,2022  BMW X5,"41000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Այլ գույն"
