1998  Mitsubishi Pajero Pinin (IO),"135000 կմ , Կուպե, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","31.12.2025 Հայաստան, Մաքսազերծված"
$ 73 000,2018  Nissan Versa,"61794 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն"
$ 1 700,2024  Toyota Camry,"27000 կմ , Սեդան, Հիբրիդ, Վարիատոր, Ձախ, Այլ գույն","22.12.2025 Հայաստան, Մաքսազերծված"
$ 40 000,2021  Hyundai Sonata,"75709 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","15.02.2025 ԱՄՆ, Աճուրդում"
$ 6 900,2024  BMW X5,"17000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","22.12.2025 Հայաստան, Մաքսազերծված"
$ 110 000,2020  Porsche Cayenne,"36084 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","15.04.2025 ԱՄՆ, Աճուրդում"
$ 28 000,2025  BMW X6 M,"4100 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","24.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 119 000,2019  Hyundai Kona,"69709 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","21.03.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2018  Mitsubishi Outlander,"71448 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 3 300,2018  Chevrolet Cruze,"91746 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն"
$ 2 200,2021  Toyota Rav 4,"29893 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","28.03.2025 ԱՄՆ, Աճուրդում"
$ 11 300,2021  BMW X3,"11000 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","24.03.2025 ԱՄՆ, Աճուրդում"
$ 19 000,2025  Mercedes-Benz G 580,"50 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 432, Ձախ, Սև","24.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 156 900,2025  Mercedes-Benz G 580,"28 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 432, Ձախ, Սև","24.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 156 300,2020  Hyundai Tucson,"58367 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","17.03.2025 ԱՄՆ, Աճուրդում"
$ 6 100,2024  BMW 520,"8682 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","11.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 52 000,2021  Subaru Forester,"74822 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","23.02.2025 ԱՄՆ, Աճուրդում"
$ 5 500,2019  Toyota Corolla,"87353 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","15.03.2025 ԱՄՆ, Աճուրդում"
$ 4 500,2020  Toyota Rav 4,"48877 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","12.03.2025 ԱՄՆ, Աճուրդում"
$ 10 000,2020  Ford Fusion,"68021 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","18.02.2025 ԱՄՆ, Աճուրդում"
$ 4 800,2022  Mercedes-Benz GLS 600 Maybach,"8360 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","20.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 155 000,2022  Porsche Macan,"29083 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ","21.05.2025 ԱՄՆ, Աճուրդում"
$ 28 000,2020  Ford Explorer,"63063 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 7 700,2020  Ford Explorer,"56979 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կարմիր"
$ 7 500,2020  Ford Explorer,"71675 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 7 900,2020  Ford Explorer,"65287 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 8 000,2023  Mercedes-Benz E 200,"12632 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","11.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 48 700,2025  BMW X6 M,"6200 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կարմիր","25.08.2025 Գերմանիա, Մաքսազերծված չ"
€ 141 000,2020  Mazda CX5,"17852 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ","21.02.2025 ԱՄՆ, Աճուրդում"
$ 7 500,2018  Mazda CX5,"61476 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","27.02.2025 ԱՄՆ, Աճուրդում"
$ 5 700,2018  Mazda CX5,"48132 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","27.02.2025 ԱՄՆ, Աճուրդում"
$ 5 500,2018  Dodge Journey,"47688 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","27.02.2025 ԱՄՆ, Աճուրդում"
$ 2 100,2021  Lexus RX 350,"32170 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","12.03.2025 ԱՄՆ, Աճուրդում"
$ 19 200,2025  Mercedes-Benz EQE,"1200 կմ , Սեդան, Էլեկտրական, Ավտոմատ, 215, Ձախ, Սև","12.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 59 400,2022  Mercedes-Benz EQC,"28809 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 300, Ձախ, Սպիտակ","12.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 39 100,2024  Mercedes-Benz EQE,"15100 կմ , Սեդան, Էլեկտրական, Ավտոմատ, 180, Ձախ, Սպիտակ","12.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 41 600,2020  Kia Sportage,"70813 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","23.02.2025 ԱՄՆ, Աճուրդում"
$ 5 500,2018  Toyota Camry,"88338 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","28.03.2025 ԱՄՆ, Աճուրդում"
$ 6 000,2018  Chevrolet Equinox,"21780 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 3 000,2018  Chevrolet Equinox,"63518 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 2 800,2018  Nissan Versa,"10 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 1 500,2019  Hyundai Tucson,"57947 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","12.05.2025 ԱՄՆ, Աճուրդում"
$ 5 000,2019  Ford Fusion,"10 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 3 600,2023  BMW XM,"7000 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն","18.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 134 500,2020  Ford Fusion,"30321 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կարմիր"
$ 4 500,2022  BMW X3,"21147 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ","14.03.2025 ԱՄՆ, Աճուրդում"
$ 20 500,2021  Porsche Cayenne,"10 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","26.03.2025 ԱՄՆ, Աճուրդում"
$ 27 500,2020  Kia Sportage,"37502 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","15.02.2025 ԱՄՆ, Աճուրդում"
$ 5 500,2019  Subaru Forester,"47149 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Աջ, Երկնագույն"
$ 3 800,2020  Subaru Forester,"50648 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 4 600,2025  Mercedes-Benz GLS 600 Maybach,"53 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","14.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 196 000,2023  BMW X3,"23800 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","22.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 35 300,2025  Land Rover Range Rover,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 216 000,2025  Land Rover Range Rover,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 177 000,2025  Mercedes-Benz G 580,"900 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 432, Ձախ, Սպիտակ","24.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 164 900,2021  Mercedes-Benz GLS 600 Maybach,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","14.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 159 600,1996  Mercedes-Benz E 230,"290000 կմ , Սեդան, Գազ, Ավտոմատ, Ձախ, Արծաթագույն"
֏ 2 300 000,2024  Lexus UX 200,"10 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն","26.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 40 400,2025  Lexus NX 350,"10 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Մոխրագույն","22.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 52 000,2025  Land Rover Range Rover Sport,"1000 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սպիտակ","17.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 118 000,2025  Land Rover Range Rover Sport,"4710 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Կապույտ","17.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 110 000,2024  Land Rover Range Rover Sport,"1800 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սպիտակ","17.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 105 000,2024  Land Rover Range Rover Sport,"9000 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սև","17.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 114 000,2025  Land Rover Range Rover Velar,"300 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Արծաթագույն","17.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 66 000,2018  Chevrolet Equinox,"80595 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","18.03.2025 ԱՄՆ, Աճուրդում"
$ 3 000,2018  Dodge Challenger,"63880 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","18.03.2025 ԱՄՆ, Աճուրդում"
$ 4 500,2018  Nissan Murano,"56519 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","18.03.2025 ԱՄՆ, Աճուրդում"
$ 4 000,2025  Porsche Cayenne,"7500 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","28.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 94 800,2020  Hyundai Elantra,"68692 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","27.03.2025 ԱՄՆ, Աճուրդում"
$ 3 600,2020  Dodge Challenger,"36750 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 6 000,2020  Ford Escape,"46298 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Երկնագույն","26.03.2025 ԱՄՆ, Աճուրդում"
$ 3 200,2021  Jeep Cherokee,"64513 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","20.03.2025 ԱՄՆ, Աճուրդում"
$ 5 000,2021  Jeep Cherokee,"31496 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","20.03.2025 ԱՄՆ, Աճուրդում"
$ 4 900,2024  Mercedes-Benz G 63 AMG,"50 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
€ 249 000,2020  BMW X3,"10 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","30.04.2025 ԱՄՆ, Աճուրդում"
$ 17 000,2020  Mercedes-Benz EQC,"49000 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 300, Ձախ, Սպիտակ","15.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 35 874,2020  Lexus IS 300 F Sport,"54820 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","14.02.2025 ԱՄՆ, Աճուրդում"
$ 11 500,2020  Lexus ES 350,"85467 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","14.02.2025 ԱՄՆ, Աճուրդում"
$ 14 300,2021  Cadillac Escalade,"41000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","11.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 91 200,2023  Cadillac Escalade,"10000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","11.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 103 300,2023  Cadillac Escalade,"6020 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","11.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 99 000,2019  Lexus NX 300h,"47795 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","14.03.2025 ԱՄՆ, Աճուրդում"
$ 12 000,2019  Mercedes-Benz G 63 AMG,"18460 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","13.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 126 100,2019  Mercedes-Benz G 63 AMG,"5880 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","13.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 205 000,2024  Land Rover Discovery,"13311 կմ , Ամենագնաց, Դիզել, Ավտոմատ, Ձախ, Սև","17.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 65 400,2023  Tesla Model 3,"53992 կմ , Սեդան, Էլեկտրական, Ավտոմատ, 300, Ձախ, Մոխրագույն","28.03.2025 ԱՄՆ, Աճուրդում"
$ 10 300,2021  BMW X5,"32825 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","21.02.2025 ԱՄՆ, Աճուրդում"
$ 26 600,2021  BMW X5,"49194 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","21.02.2025 ԱՄՆ, Աճուրդում"
$ 27 000,2020  Kia Optima,"60782 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 3 500,2020  Kia Optima,"44862 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ"
$ 3 100,2020  Toyota C-HR,"56989 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կարմիր"
$ 6 500,2024  Mercedes-Benz C 300,"1223 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","15.04.2025 ԱՄՆ, Աճուրդում"
$ 23 500,2018  Mazda 6,"90115 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","12.03.2025 ԱՄՆ, Աճուրդում"
$ 3 800,2019  Hyundai Elantra,"47214 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 2 900,2021  Toyota Rav 4,"18504 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","11.02.2025 ԱՄՆ, Աճուրդում"
$ 12 000,2019  Nissan Rogue,"85521 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կարմիր","20.02.2025 ԱՄՆ, Աճուրդում"
$ 3 700,2020  Kia Forte,"83169 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 4 000,2020  Hyundai Elantra,"28362 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 3 800,2020  Hyundai Elantra,"57629 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 3 700,2024  BMW X6,"36358 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","21.10.2025 Հայաստան, Մաքսազերծված"
$ 83 000,2021  Toyota Rav 4,"32183 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","28.03.2025 ԱՄՆ, Աճուրդում"
$ 11 600,2022  Mazda CX 30,"21825 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","26.03.2025 ԱՄՆ, Աճուրդում"
$ 8 000,2021  Subaru Legacy,"31038 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","23.02.2025 ԱՄՆ, Աճուրդում"
$ 3 900,2022  Toyota Corolla,"43484 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 7 500,2022  Toyota Corolla,"44133 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Երկնագույն"
$ 7 200,2018  Chevrolet Cruze,"65164 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 2 300,2024  Mercedes-Benz S 63 AMG,"2550 կմ , Սեդան, Հիբրիդ, Ավտոմատ, Ձախ, Սև"
€ 206 000,2019  Mercedes-Benz G 63 AMG,"42245 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","13.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 161 900,2021  Porsche Macan,"55599 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.04.2025 ԱՄՆ, Աճուրդում"
$ 19 500,2020  Hyundai Tucson,"33643 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 4 800,2022  BMW 318,"2253 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","16.02.2025 Գերմանիա, Աճուրդում"
€ 24 800,2019  Ford Fiesta,"42910 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 1 600,2019  Ford Fiesta,"67374 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 1 700,2024  Rolls Royce Spectre,"500 կմ , Կուպե, Էլեկտրական, Ավտոմատ, 430, Ձախ, Սև","17.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 540 000,2022  Mazda CX5,"18900 կմ , МАЗДА ГРАНД ТУРИНГ ПРЕМИУМ ПЛЮС., Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","29.06.2023 Հայաստան, Մաքսազերծված"
$ 32 500,2024  Land Rover Discovery Sport,"3000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
€ 53 700,2023  Land Rover Discovery Sport,"16736 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
€ 42 100,2024  Land Rover Discovery Sport,"5999 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև"
€ 44 500,2019  Nissan Sentra,"18965 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","17.02.2025 ԱՄՆ, Աճուրդում"
$ 2 100,2019  Ford Fiesta,"96500 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","18.03.2025 ԱՄՆ, Աճուրդում"
$ 1 400,2019  Ford Fiesta,"41354 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","18.03.2025 ԱՄՆ, Աճուրդում"
$ 1 500,2019  Kia Sorento,"83541 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","26.03.2025 ԱՄՆ, Աճուրդում"
$ 4 600,2021  Tesla Model Y,"68690 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, 300, Ձախ, Մոխրագույն","27.02.2025 ԱՄՆ, Աճուրդում"
$ 13 300,2022  Toyota Corolla,"27282 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","15.02.2025 ԱՄՆ, Աճուրդում"
$ 7 500,2023  Mercedes-Benz EQS SUV,"40540 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 300, Ձախ, Սև","12.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 67 200,2021  Jeep Compass,"78247 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","27.03.2025 ԱՄՆ, Աճուրդում"
$ 4 300,2020  Toyota Corolla,"87742 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","15.03.2025 ԱՄՆ, Աճուրդում"
$ 6 600,2018  Dodge Journey,"82525 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","21.02.2025 ԱՄՆ, Աճուրդում"
$ 2 100,2018  Dodge Journey,"82893 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","21.02.2025 ԱՄՆ, Աճուրդում"
$ 2 500,2018  Chevrolet Cruze,"65090 մղոն , Հետչբեք, Բենզին, Ավտոմատ, Ձախ, Կարմիր"
$ 1 600,2022  Mercedes-Benz GLE 350,"67527 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","24.10.2025 ԱՄՆ, Մաքսազերծված չ"
$ 27 000,2025  Audi Q7,"1999 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","21.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 90 800,2021  Toyota Corolla,"86985 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 5 800,2025  Lexus NX 350,"20 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Արծաթագույն","22.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 49 000,2025  Lexus NX 350,"12 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սպիտակ","22.09.2025 Գերմանիա, Մաքսազերծված չ"
€ 50 000,2021  Lexus GX 460 Premium,"66594 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","20.02.2025 ԱՄՆ, Աճուրդում"
$ 24 800,2020  Land Rover Range Rover Evoque,"51726 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 14 000,2021  Toyota Camry,"70402 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 11 700,2020  Toyota Camry,"86352 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 8 000,2018  Hyundai Kona,"45327 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Երկնագույն","28.02.2025 ԱՄՆ, Աճուրդում"
$ 3 500,2008  BMW X6,"240000 կմ , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","23.11.2025 Հայաստան, Մաքսազերծված"
$ 15 000,2019  Jeep Compass,"136000 կմ , Sport, Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն"
$ 13 500,2024  Land Rover Discovery Sport,"3000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","24.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 53 700,2021  Honda Accord,"57003 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ","20.03.2025 ԱՄՆ, Աճուրդում"
$ 7 000,2024  Mercedes-Benz C 300,"7052 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.04.2025 ԱՄՆ, Աճուրդում"
$ 24 000,2020  Toyota Corolla,"76944 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","15.03.2025 ԱՄՆ, Աճուրդում"
$ 5 300,2020  Subaru Forester,"75355 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","25.03.2025 ԱՄՆ, Աճուրդում"
$ 4 500,2021  Mazda CX 30,"46025 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","18.03.2025 ԱՄՆ, Աճուրդում"
$ 7 000,2022  Porsche Macan,"26974 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","18.03.2025 ԱՄՆ, Աճուրդում"
$ 25 000,2021  Porsche Macan,"10 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","18.03.2025 ԱՄՆ, Աճուրդում"
$ 20 500,2024  Mercedes-Benz EQB,"9500 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 168, Ձախ, Երկնագույն","17.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 37 400,2022  Chevrolet Malibu,"67664 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","22.02.2025 ԱՄՆ, Աճուրդում"
$ 3 700,2022  Chevrolet Malibu,"68752 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","22.02.2025 ԱՄՆ, Աճուրդում"
$ 3 900,2021  Mazda CX 30,"45619 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Կապույտ","21.05.2025 ԱՄՆ, Աճուրդում"
$ 6 500,2022  Mazda CX 30,"46438 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","21.05.2025 ԱՄՆ, Աճուրդում"
$ 8 000
